epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.207,1.97753,4.09154,1.70277,0.00496,0.38839,0.01314,0.0097,1.26868,3.82383,1.33452,1.25e-05,1.25e-05,1.25e-05
2,30.473,2.00614,3.96551,1.69661,0.00595,0.45536,0.02391,0.01724,1.19575,3.77905,1.30517,3.67575e-05,3.67575e-05,3.67575e-05
3,44.2051,1.97306,3.88649,1.73142,0.00766,0.58036,0.06234,0.05185,1.07831,3.70062,1.26843,6.0025e-05,6.0025e-05,6.0025e-05
4,57.6479,1.64776,3.69495,1.50592,0.00947,0.67411,0.08967,0.06602,0.93796,3.61949,1.21138,8.23025e-05,8.23025e-05,8.23025e-05
5,71.0844,1.59013,3.47837,1.42389,0.01261,0.83482,0.14406,0.09785,0.93098,3.5756,1.22992,0.00010359,0.00010359,0.00010359
6,85.2693,1.6488,3.3723,1.49606,0.01337,0.87054,0.19188,0.14999,0.9405,3.55017,1.22246,0.000123888,0.000123888,0.000123888
7,99.0251,1.45796,3.05601,1.45899,0.01384,0.92857,0.22485,0.16193,0.92607,3.49247,1.20507,0.000143195,0.000143195,0.000143195
8,112.528,1.42945,2.74788,1.36708,0.01281,0.89732,0.27737,0.19209,0.96937,3.43796,1.23584,0.000161513,0.000161513,0.000161513
9,126.091,1.47773,2.75849,1.42572,0.01332,0.93304,0.29053,0.19851,0.93553,3.42065,1.18985,0.00017884,0.00017884,0.00017884
10,139.933,1.36696,2.51667,1.3284,0.01322,0.93304,0.27723,0.19166,0.90339,3.4018,1.15032,0.000195178,0.000195178,0.000195178
11,153.769,1.34978,2.48459,1.36163,0.01414,1,0.28997,0.2097,0.88443,3.38436,1.15868,0.000210525,0.000210525,0.000210525
12,167.42,1.26159,2.24014,1.26655,0.01379,1,0.30092,0.22129,0.82878,3.37436,1.16462,0.000224883,0.000224883,0.000224883
13,180.673,1.33888,2.37894,1.34267,0.01352,1,0.30187,0.21356,0.82906,3.35197,1.15545,0.00023825,0.00023825,0.00023825
